property_id,postcode,property_type,built_form,construction_age,tenure,main_fuel,epc_rating,mains_gas,local_authority,latitude,longitude
P0065,NG5 5NF,House,End-Terrace,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,53.003172,-1.156941
P0067,NG7 2JP,House,Semi-Detached,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.938889,-1.185197
P0069,NG5 5SX,House,Semi-Detached,1950-1966,Rented (social),Mains Gas,D,Yes,Nottingham,53.001591,-1.149551
P0070,NG5 9JE,House,Mid-Terrace,1967-1975,Rented (social),Mains Gas,C,Yes,Nottingham,53.010434,-1.163119
P0071,NG8 6DG,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.986366,-1.207201
P0072,NG8 6JU,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.978406,-1.218726
P0073,NG6 0HA,House,End-Terrace,1983-1990,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.979111,-1.180599
P0075,NG8 5HR,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.976453,-1.194202
P0076,NG8 6BQ,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.982609,-1.211396
P0078,NG11 9NB,House,Mid-Terrace,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,52.900209,-1.180466
P0079,NG7 5AX,House,Semi-Detached,1976-1982,Rented (social),Mains Gas,C,Yes,Nottingham,52.963698,-1.173342
P0081,NG5 6EL,House,Mid-Terrace,1930-1949,Rented (private),Mains Gas,D,Yes,Nottingham,52.997226,-1.143751
P0082,NG6 8BE,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,53.015574,-1.194054
P0083,NG5 9AR,House,Mid-Terrace,1967-1975,Rented (social),Mains Gas,C,Yes,Nottingham,53.003006,-1.172964
P0084,NG3 5FY,House,End-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.978635,-1.136107
P0086,NG5 9BP,House,End-Terrace,1967-1975,Rented (private),Mains Gas,C,Yes,Nottingham,53.00785,-1.172797
P0087,NG11 9DL,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.896636,-1.174632
P0090,NG2 2JE,House,End-Terrace,1976-1982,Rented (social),Mains Gas,C,Yes,Nottingham,52.941458,-1.142874
P0091,NG6 7BQ,House,Semi-Detached,1967-1975,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.996908,-1.210926
P0093,NG11 8DW,House,Mid-Terrace,1967-1975,Owner-occupied,Mains Gas,C,Yes,Nottingham,52.907306,-1.179797
P0095,NG8 6GP,House,End-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.977202,-1.217541
P0096,NG3 3DF,House,End-Terrace,1967-1975,Rented (social),Community Heating,D,No,Nottingham,52.969573,-1.126236
P0098,NG7 7AH,House,Semi-Detached,1900-1929,Owner-occupied,Mains Gas,E,Yes,Nottingham,52.975314,-1.163247
P0099,NG5 5UA,House,Semi-Detached,1991-1995,Owner-occupied,Mains Gas,C,Yes,Nottingham,53.00532,-1.151832
P0100,NG11 8HW,House,Mid-Terrace,1950-1966,Rented (social),Mains Gas,C,Yes,Nottingham,52.905338,-1.172044
P0101,NG8 6DA,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.983146,-1.208317
P0104,NG5 5HT,House,Semi-Detached,1950-1966,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.994851,-1.166251
P0105,NG7 6LZ,House,Mid-Terrace,1900-1929,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.970484,-1.160303
P0107,NG5 6DN,House,Semi-Detached,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.996169,-1.143027
P0109,NG3 2AW,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.955802,-1.131292
P0111,NG5 3DU,House,End-Terrace,1930-1949,Rented (private),Mains Gas,D,Yes,Nottingham,52.985798,-1.153466
P0113,NG7 6GA,House,Mid-Terrace,1930-1949,Owner-occupied,Mains Gas,D,Yes,Nottingham,52.970981,-1.173516
P0114,NG8 6EF,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,D,Yes,Nottingham,52.98195,-1.201458
P0115,NG7 5JL,House,Mid-Terrace,1900-1929,Rented (social),Mains Gas,D,Yes,Nottingham,52.964969,-1.179005
P0116,NG8 5QG,House,Mid-Terrace,1930-1949,Rented (social),Mains Gas,C,Yes,Nottingham,52.972092,-1.199286
