cluster,n_days,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,418,0.3984,0.3897,0.3755,0.3711,0.3665,0.3674,0.4053,0.4964,0.5513,0.6918,0.8244,0.9182,0.9491,0.9699,0.974,0.977,0.9699,0.9134,0.7835,0.6764,0.6001,0.529,0.4685,0.4242
1,167,0.7378,0.734,0.7143,0.7158,0.7072,0.7023,0.7019,0.7117,0.7365,0.7911,0.8206,0.8682,0.9074,0.9329,0.9504,0.9648,0.9713,0.9603,0.9345,0.9109,0.8727,0.8152,0.7804,0.7538
2,146,0.9608,0.9748,0.9711,0.97,0.968,0.9673,0.9668,0.968,0.9708,0.9745,0.9784,0.9852,0.9894,0.9921,0.9942,0.994,0.9959,0.9952,0.9937,0.993,0.9889,0.9829,0.9778,0.9745
