air_temperature,radiant_temperature,relative_humidity,air_velocity,outdoor_temperature,clo_value,met_rate,comfort_label
22.3,22.95,61.0,0.03,16.295833333333334,0.95,1.706484641638225,too_warm
23.0,24.13428571428572,59.0,0.08,16.295833333333334,1.07,1.1092150170648465,too_warm
22.0,22.091428571428573,61.0,0.04,16.295833333333334,0.88,1.2116040955631395,comfortable
23.2,24.33030303030303,58.0,0.03,16.295833333333334,0.59,1.7747440273037542,comfortable
22.2,23.077142857142857,62.0,0.15,16.295833333333334,0.8300000000000001,1.484641638225256,comfortable
21.2,21.04015151515152,65.0,0.15,16.295833333333334,0.6599999999999999,1.501706484641638,comfortable
21.9,22.368571428571432,62.0,0.06,16.295833333333334,1.02,1.331058020477816,comfortable
21.4,21.75909090909091,65.0,0.03,16.295833333333334,0.71,1.331058020477816,too_cold
21.6,22.902857142857144,63.0,0.25,16.295833333333334,1.1,1.2627986348122866,comfortable
21.3,20.928571428571427,64.0,0.05,16.295833333333334,0.6799999999999999,1.4675767918088738,comfortable
21.8,22.93,57.0,0.13,16.8625,1.1,1.331058020477816,comfortable
21.5,21.6378787878788,58.0,0.0899999999999999,16.8625,0.76,1.194539249146758,comfortable
22.8,23.63636363636364,53.0,0.15,16.8625,0.6599999999999999,1.621160409556314,comfortable
23.0,23.287121212121207,46.0,0.08,15.4375,0.95,1.2969283276450512,too_warm
24.1,23.27142857142857,32.0,0.25,12.229166666666666,1.05,1.1092150170648465,too_warm
22.4,22.448571428571427,36.0,0.0899999999999999,12.229166666666666,1.4199999999999997,1.1092150170648465,too_warm
22.1,22.545714285714283,38.0,0.03,12.229166666666666,1.1,0.9385665529010238,comfortable
23.6,23.165714285714284,34.0,0.08,12.229166666666666,0.96,0.9897610921501708,too_warm
22.7,22.448571428571427,37.0,0.08,12.229166666666666,1.56,1.006825938566553,too_warm
18.7,18.192857142857147,46.0,0.08,12.229166666666666,1.6299999999999997,0.9385665529010238,comfortable
21.9,21.068571428571428,38.0,0.19,12.229166666666666,1.1,1.1092150170648465,comfortable
21.8,21.4469696969697,38.0,0.17,11.870833333333334,0.7899999999999999,1.1604095563139931,comfortable
21.4,21.02142857142857,39.0,0.15,11.870833333333334,1.03,1.1092150170648465,comfortable
